tamainid,location_description,rdfeature,rdcharacter,rdclass,rdconfigur,rdsurface,rdcondition,lightcond,weather,trafcontrl,lat,lon,lon2,lat2,tract,zone,fatality,possblinj,numpassengers,numpedestrians,contrcir1_desc,contrcir2_desc,contrcir3_desc,contrcir4_desc,vehicle1,vehicle2,vehicle3,vehicle4,vehicle5,workarea,records,ta_date,ta_time,crash_date,geo_location,year,fatalities,injuries,month,contrfact1,contrfact2,contributing_factor,vehicleconcat1,vehicleconcat2,vehicleconcat3,vehicle_type
38961,.1 MILES FROM PVA (2750 NC 55 HWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38976,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38978,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38979,250 FEET FROM SR 1415 (SE MAYNARD RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38983,240 FEET FROM SR 1379 (PENNY RD),RELATED TO INTERSECTION,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38986,CARY,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38988,400 FEET FROM P.V.A. (527 KEISLER DR),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38989,200 FEET FROM SR 3977 (SE CARY PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38999,406 FEET FROM PVA PETSMART(2430 WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39001,0 FEET FROM SR 1652 (N HARRISON AV),T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39005,100 FEET FROM SR1415 (SW MAYNARD RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39006,100 FEET FROM SW CARY PKWY SR 3977,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39010,.5 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39017,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39018,.1 MILES FROM NC 55 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39026,400 FEET FROM SR# 1315 (BUCK JONES RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39028,400 FEET FROM P.V.A.(201 HARRISON OAKS BLVD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39035,300 FEET FROM 681 CARY TOWNE BLVD (PVA),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39037,.15 MILES FROM 6770 MCCRIMMON PKWY,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39045,0 FEET FROM SR 1615 (HIGH HOUSE RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39047,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39051,75 FEET FROM P.V.A. (953 N HARRISON AV),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39052,.1 MILES FROM SR 1315 (BUCK JONES RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39053,0 FEET FROM (SR 1615) HIGH HOUSE RD,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39067,300 FEET FROM P.V.A (1741 WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39076,220 FEET FROM P.V.A. (8204 TRYON WOODS DR),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39080,.3 MILES FROM SR 1615 (HIGH HOUSE RD),RELATED TO INTERSECTION,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39083,450 FEET FROM ARBOR VIEW DR,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39085,0 FEET FROM WEBSTER ST,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39087,50 FEET FROM US 1 HWY,OFF-RAMP PROPER,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39095,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39103,.1 MILES FROM SR 1415 (NW MAYNARD RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39111,0.7 MILES FROM US 1,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39113,1 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39121,.01 MILES FROM SR 1613 (DAVIS DR),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39134,10 FEET FROM I-540 OFF-RAMP,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39138,0 FEET FROM (SR 1652) N HARRISON AVE,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39147,CARY,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39152,2 MILES FROM NC 55 HWY,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39153,.25 MILES FROM SR 1300 KILDAIRE FARM RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39165,157 FEET FROM P.V.A. (5016 COMMONS HILL DR),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39168,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39173,0 FEET FROM SR 1747 (NW MAYNARD RD),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39174,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39175,300 FEET FROM NC 55 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39179,50 FEET FROM NC 54 NE MAYNARD RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39185,CARY,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39193,20 FEET FROM 1400 BRUNSON CT,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39198,.25 MILES FROM THURSTON DR,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39202,.02 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39205,300 FEET FROM PVA METLIFE 301 METLIFE WAY,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39208,.05 MILES FROM PVA OF 575-106 NEW WAVERLY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39210,30 FEET FROM WIDDINGTON LN,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39211,.5 MILES FROM US 1,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39212,.5 MILES FROM US 1,,,,,,,,,,,,-78.82179,35.723836,,,0,0,,,,,,,,,,,,,983,3/21/2019,8:16:46 AM,2019-03-21T12:16:46+00:00,,2019,No,No,3,,,,,,,
39213,100 FEET FROM US HWY 1,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39214,100 FEET FROM PVA (4010 CONVENIENCE LN),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39220,400 FEET FROM (PVA) 1048 PARKSIDE MAIN ST,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39222,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39223,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39224,75 FEET FROM NC 54 (CHAPEL HILL RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39229,15 FEET FROM SR 1497 (CARY TOWNE BLVD),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39240,0 FEET FROM (SR 1613) DAVIS DR,,,,,,,,,,,,-78.847172,35.791571,,,0,0,,,,,,,,,,,,,1011,3/23/2019,6:58:28 PM,2019-03-23T22:58:28+00:00,,2019,No,No,3,,,,,,,
39243,30 FEET FROM US 1 ON RAMP,ON-RAMP ENTRY,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39245,20 FEET FROM US 1 HWY,OFF-RAMP PROPER,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39249,.39 MILES FROM HWY US 64,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39255,.5 MILES FROM SR# 1315 (BUCK JONES RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39256,200 FEET FROM 4300 NW CARY PKWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39261,50 FEET FROM S.R. 1300(KILDAIRE FARM RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39262,200 FEET FROM 638 WALNUT ST,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39263,CARY,,,,,,,,,,,,-78.764397,35.662265,,,0,0,,,,,,,PASSENGER CAR,,,,,,1034,3/19/2019,9:18:58 AM,2019-03-19T13:18:58+00:00,,2019,No,No,3,,,,PASSENGER CAR,PASSENGER CAR,PASSENGER CAR,PASSENGER CAR
39271,.11 MILES FROM PVA RED ROBIN(2260 WALUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39283,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39285,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39286,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39288,200 FEET FROM SR 1415 (SE MAYNARD RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39295,.1 MILES FROM PVA (6770 MCCRIMMON PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39298,30 FEET FROM SR 1731 (OKELLY CHAPEL RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39300,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39306,100 FEET FROM PVA AEROTEK 6501 WESTON PKWY,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39317,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39318,30 FEET FROM P.V.A. (CHATHAM SQUARE),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39321,150 FEET FROM S.R. 1628 (OKELLY CHAPEL RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39324,.18 MILES FROM PVA ROSS(251 CROSSROADS BLVD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39326,25 FEET FROM 3494 KILDAIRE FARM RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39331,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39340,20 FEET FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39344,200 FEET FROM US 64 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39369,50 FEET FROM P.V.A. (1921 HIGH HOUSE RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39371,.38 MILES FROM NC 55 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39376,.10 MILES FROM PVA 2791 NC 55 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39377,.2 MILES FROM P.V.A (GOOSENECK DR),NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39380,50 FEET FROM S.R. 1313(WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39384,10 FEET FROM W. CHATHAM ST,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39402,0 FEET FROM SR 3977 (SW CARY PKWY),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39407,75 FEET FROM SR 1618 (WALDO ROOD BLVD),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39408,250 FEET FROM CHADMORE DR,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39414,2 FEET FROM P.V.A (2861 JONES FRANKLIN RD),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39418,65 FEET FROM SR 1315 (BUCK JONES RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39420,.15 MILES FROM SR# 1319 (JONES FRANKLIN RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39423,50 FEET FROM PVA OF 8322 CHAPEL HILL RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39425,CARY,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,1195,4/3/2019,12:00 AM,2019-04-03T04:00:00+00:00,,2019,No,No,4,,,,,,,
39427,45 FEET FROM HIGHSTONE RD,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39438,0 FEET FROM SR 1300 (KILDAIRE FARM RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39451,CARY,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39452,240 FEET FROM SR 1624 (CARPENTER FIRE),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39453,.5 MILES FROM US1,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39468,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39479,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39484,350 FEET FROM SR 1313 (WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39491,CARY,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39510,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39520,.2 MILES FROM US HWY 1,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39525,CARY,,,,,,,,,,,,,,,,0,0,,,,,,,PASSENGER CAR,,,,,,1294,4/10/2019,6:36:03 AM,2019-04-10T10:36:03+00:00,,2019,No,No,4,,,,PASSENGER CAR,PASSENGER CAR,PASSENGER CAR,PASSENGER CAR
39528,0 FEET FROM SR 1011 (E. CHATHAM ST),T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39535,200 FEET FROM OLD APEX RD SR 1616,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39541,.113 MILES FROM TRINITY WOODS DR,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39561,15 FEET FROM N HARRISON AVE,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39573,0 FEET FROM (SR 1307) W CHATHAM ST,TRAFFIC CIRCLE/ROUNDABOUT,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39574,100 FEET FROM SR 1300 (KILDAIRE FARM RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39576,.1 MILES FROM SR 1300 (KILDAIRE FARM),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39588,.1 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39599,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39601,200 FEET FROM PVA 2861 JONES FRANKLIN RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39604,.50 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39607,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39614,100 FEET FROM 149 E. CHATHAM ST (PVA),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39616,.26 MILES FROM SR3977 (SE CARY PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39619,196 FEET FROM P.V.A. (1803 N HARRISON AVE),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39624,CARY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39635,285 FEET FROM SR 1379 (PENNY RD),NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39636,.25 MILES FROM SR 1615 (HIGH HOUSE RD),NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39642,200 FEET FROM PVA 1421 OLD APEX RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39646,.79 MILES FROM US 1 HWY,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39651,200 FEET FROM P.V.A. (957 N HARRISON AVE),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39658,.2 MILES FROM SR 1415 (SW MAYNARD RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39663,20 FEET FROM P.V.A. (748 E CHATHAM ST),DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39666,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39668,100 FEET FROM PVA 115 KILDAIRE FARM RD,DRIVEWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39671,40 FEET FROM CHAPEL HILL RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39672,20 FEET FROM S.R.1615 (HIGH HOUSE RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39679,400 FEET FROM E DURHAM RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39682,10 FEET FROM PRESTON OAKS LN,RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39687,10 FEET FROM P.V.A. (1409 KILDAIRE FARM RD),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39702,401 FEET FROM PLEASANT GROVE CHURCH RD,NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39704,10 FEET FROM SR 1415 (SE MAYNARD RD),RELATED TO INTERSECTION,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39706,5 FEET FROM P.V.A. 1105 WALNUT ST,NO SPECIAL FEATURE,CURVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39713,20 FEET FROM SR 1313 (WALNUT ST),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39714,CARY,FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39716,0 FEET FROM SR 1415 (SE MAYNARD RD),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39717,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39720,50 FEET FROM SR 3977 (CARY PKWY),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39734,CARY,T-INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39740,198 FEET FROM P.V.A. BOND PARK (801 SR 1615),NO SPECIAL FEATURE,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39741,25 FEET FROM SR 4067 (REGECNY PKWY),FOUR-WAY INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39745,20 FEET FROM SR 1613 (DAVIS DR),RELATED TO INTERSECTION,STRAIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
